,date,open,high,low,close,volume,average,barCount
178,2022-09-27 12:26:00,3644.57,3645.94,3642.27,3644.26,0.0,0.0,112
179,2022-09-27 12:28:00,3644.3,3646.76,3643.35,3644.07,0.0,0.0,114
180,2022-09-27 12:30:00,3644.5,3645.12,3636.56,3636.56,0.0,0.0,115
181,2022-09-27 12:32:00,3636.23,3639.61,3635.98,3638.71,0.0,0.0,110
182,2022-09-27 12:34:00,3638.38,3641.6,3637.75,3641.58,0.0,0.0,115
183,2022-09-27 12:36:00,3641.71,3641.78,3637.89,3639.12,0.0,0.0,112
184,2022-09-27 12:38:00,3639.48,3639.48,3635.28,3637.51,0.0,0.0,114
185,2022-09-27 12:40:00,3637.44,3640.4,3636.19,3640.37,0.0,0.0,119
186,2022-09-27 12:42:00,3640.55,3642.0,3638.51,3642.0,0.0,0.0,113
187,2022-09-27 12:44:00,3642.06,3646.96,3641.04,3644.27,0.0,0.0,114
188,2022-09-27 12:46:00,3644.2,3646.08,3640.35,3641.55,0.0,0.0,116
189,2022-09-27 12:48:00,3641.84,3645.7,3640.7,3645.4,0.0,0.0,118
190,2022-09-27 12:50:00,3644.6,3649.84,3644.13,3647.87,0.0,0.0,119
191,2022-09-27 12:52:00,3647.75,3652.71,3647.75,3648.85,0.0,0.0,114
192,2022-09-27 12:54:00,3649.01,3653.95,3649.01,3652.44,0.0,0.0,117
193,2022-09-27 12:56:00,3652.61,3652.61,3645.82,3646.17,0.0,0.0,114
194,2022-09-27 12:58:00,3646.01,3648.64,3643.42,3648.49,0.0,0.0,115
195,2022-09-28 06:30:00,3651.94,3656.91,3648.79,3652.43,0.0,0.0,117
196,2022-09-28 06:32:00,3652.41,3652.41,3647.35,3647.57,0.0,0.0,119
197,2022-09-28 06:34:00,3647.53,3649.74,3640.61,3648.91,0.0,0.0,119
198,2022-09-28 06:36:00,3648.75,3649.75,3641.7,3641.7,0.0,0.0,116
199,2022-09-28 06:38:00,3641.62,3645.37,3641.48,3644.6,0.0,0.0,119
200,2022-09-28 06:40:00,3644.63,3651.71,3642.75,3649.15,0.0,0.0,117
201,2022-09-28 06:42:00,3649.1,3652.2,3643.83,3652.2,0.0,0.0,118
202,2022-09-28 06:44:00,3653.48,3658.28,3652.46,3655.77,0.0,0.0,117
203,2022-09-28 06:46:00,3655.67,3655.67,3650.71,3653.92,0.0,0.0,120
204,2022-09-28 06:48:00,3653.91,3661.37,3652.34,3655.03,0.0,0.0,117
205,2022-09-28 06:50:00,3654.84,3661.78,3653.02,3661.76,0.0,0.0,118
206,2022-09-28 06:52:00,3661.78,3662.08,3658.02,3658.48,0.0,0.0,116
207,2022-09-28 06:54:00,3658.17,3659.46,3655.5,3657.93,0.0,0.0,116
208,2022-09-28 06:56:00,3658.06,3662.2,3656.18,3661.23,0.0,0.0,116
